LOADED 12 artifacts (4 anchors from f10_caliber, sha-asserted; 8 new); device sha256 8684d9a9f43a8d15beaa559cd12bd8f2977a3d088b01b93835f60f2bbf98a53d; identical anchor set n=10038 first 2022-01-31 00:00 last 2026-08-30 20:00
window sizes: 2024=2196, 2025=2190, 2026<=08-10=1332, 2024->26=5718, 2025->26=3522
UNITS: g = net_ex/gross_total [bps/anchor per unit gross]; NAV %/yr at L=2 (arithmetic) = mean g × 6 anchors/day × 365 days × 2 ÷ 1e4 × 100 = mean g × 43.8; 2×DD %NAV = maxDD(bps of g) × 2 / 100
### §B.1a Levels — PRIMARY per-gross caliber (g = net_ex/gross_total, bps/anchor per unit gross); arm d30_n2_c42; ⚠ = negative mean; NAV %/yr @2× = mean × 43.8 (per-gross only)

| φ | seed | window | mean bps/anchor | Sharpe (anchor) | maxDD bps | 2×DD %NAV | turnover/gross | NAV %/yr @2× | gross_total | w3_king | n |
| 0.35 | s42 | 2026<=08-10 | +2.451 | +4.85 | 349 | — | 0.0346 | — | 0.787 | 0.388 | 1332 |
| 0.35 | s42 | 2024->26 | +0.695 | +1.97 | 941 | — | 0.0719 | — | 0.607 | 0.652 | 5718 |
| 0.35 | s42 | 2025->26 | +1.070 | +2.67 | 486 | — | 0.0632 | — | 0.629 | 0.608 | 3522 |
| 0.35 | s2027 | 2024 | +0.113 | +0.44 | 954 | — | 0.0847 | — | 0.572 | 0.723 | 2196 |
| 0.35 | s2027 | 2025 | +0.266 | +0.82 | 454 | — | 0.0739 | — | 0.547 | 0.742 | 2190 |
| 0.35 | s2027 | 2026<=08-10 | +2.441 | +4.83 | 341 | — | 0.0361 | — | 0.790 | 0.388 | 1332 |
| 0.35 | s2027 | 2024->26 | +0.714 | +2.01 | 954 | — | 0.0693 | — | 0.613 | 0.652 | 5718 |
| 0.35 | s2027 | 2025->26 | +1.088 | +2.70 | 485 | — | 0.0596 | — | 0.639 | 0.608 | 3522 |
| 0.45 (在役) | s42 | 2024 | +0.107 | +0.45 | 846 | — | 0.0920 | — | 0.550 | 0.723 | 2196 |
| 0.45 (在役) | s42 | 2025 | +0.203 | +0.67 | 409 | — | 0.0940 | — | 0.500 | 0.742 | 2190 |
