total_pnl_bps,ann_return_pct,sharpe,max_dd_bps,win_rate,n_trades,time_in_mkt_pct,n_bars,pnl_per_trade,T_open,T_close,T_flip,fee_rt,max_hold
-6274.52613673181,-220.72463640579332,-14.73968675476161,6283.449344133808,0.4709367945823928,1382,28.46357722271303,12451,-4.54017810183199,1.0,-0.3,1.5,6.3,5
-6328.065424375317,-222.60803597111786,-14.254785654007328,6337.744513611326,0.4729064039408867,1327,30.977431531603887,12451,-4.768700395158491,1.0,-0.3,1.5,6.3,10
-6096.120972274324,-214.44871784243466,-13.63032784167688,6105.800061510354,0.4750575594781274,1319,31.395068669183196,12451,-4.621774808396,1.0,-0.3,1.5,6.3,20
-6096.120972274324,-214.44871784243466,-13.63032784167688,6105.800061510354,0.4750575594781274,1319,31.395068669183196,12451,-4.621774808396,1.0,-0.3,1.5,6.3,30
-7241.92613673181,-254.75573430957618,-16.9552011616366,7249.09934413404,0.463882618510158,1382,28.46357722271303,12451,-5.24017810183199,1.0,-0.3,1.5,7.0,5
-7256.9654243753175,-255.28478482663158,-16.300577046033524,7264.138631777547,0.466683951257454,1327,30.977431531603887,12451,-5.468700395158491,1.0,-0.3,1.5,7.0,10
-7019.420972274325,-246.92847047274552,-15.649498234768231,7026.594179676555,0.46866206190841647,1319,31.395068669183196,12451,-5.321774808396001,1.0,-0.3,1.5,7.0,20
-7019.420972274325,-246.92847047274552,-15.649498234768231,7026.594179676555,0.46866206190841647,1319,31.395068669183196,12451,-5.321774808396001,1.0,-0.3,1.5,7.0,30
-10005.92613673181,-351.98744260609857,-23.15110187545129,10011.657010674186,0.4497742663656885,1382,28.46357722271303,12451,-7.24017810183199,1.0,-0.3,1.5,9.0,5
-9910.965424375318,-348.6469244138133,-22.036051147882148,9916.696298317693,0.45501685247601764,1327,30.977431531603887,12451,-7.468700395158491,1.0,-0.3,1.5,9.0,10
-9657.420972274325,-339.72776370220504,-21.311415756541123,9663.1518462167,0.4571501662829368,1319,31.395068669183196,12451,-7.321774808396001,1.0,-0.3,1.5,9.0,20
-9657.420972274325,-339.72776370220504,-21.311415756541123,9663.1518462167,0.4571501662829368,1319,31.395068669183196,12451,-7.321774808396001,1.0,-0.3,1.5,9.0,30
-11387.92613673181,-400.60329675435975,-26.16243532630226,11393.157010674186,0.44469525959367945,1382,28.46357722271303,12451,-8.24017810183199,1.0,-0.3,1.5,10.0,5
-11237.965424375318,-395.32799420740423,-24.83242522628814,11243.196298317693,0.4506092818252528,1327,30.977431531603887,12451,-8.468700395158491,1.0,-0.3,1.5,10.0,10
-10976.420972274325,-386.12741031693474,-24.072717461971944,10981.6518462167,0.4528012279355334,1319,31.395068669183196,12451,-8.321774808396,1.0,-0.3,1.5,10.0,20
-10976.420972274325,-386.12741031693474,-24.072717461971944,10981.6518462167,0.4528012279355334,1319,31.395068669183196,12451,-8.321774808396,1.0,-0.3,1.5,10.0,30
-2371.2966454681823,-83.41722999880041,-6.001873646179911,2859.2769618945213,0.4982981620149762,1466,23.596498273231063,12451,-1.6175284075499197,1.0,0.0,1.5,3.6,5
-2157.3363804516266,-75.89055775743414,-5.3719330395169,2736.2313565358663,0.5014856388246947,1450,24.32736326399486,12451,-1.4878181934149148,1.0,0.0,1.5,3.6,10
-2161.369846790738,-76.0324466223069,-5.381906151562867,2740.2648228749795,0.5013201320132014,1450,24.335394747409847,12451,-1.49059989433844,1.0,0.0,1.5,3.6,20
-2161.369846790738,-76.0324466223069,-5.381906151562867,2740.2648228749795,0.5013201320132014,1450,24.335394747409847,12451,-1.49059989433844,1.0,0.0,1.5,3.6,30
-2957.6966454681824,-104.04554900932166,-7.477452756490008,3245.1937261894927,0.49455411844792374,1466,23.596498273231063,12451,-2.0175284075499196,1.0,0.0,1.5,4.0,5
-2737.3363804516266,-96.29373822486647,-6.808615650448954,3134.03135653591,0.4978540772532189,1450,24.32736326399486,12451,-1.887818193414915,1.0,0.0,1.5,4.0,10
-2741.369846790738,-96.43562708973923,-6.818561244336867,3138.0648228750215,0.4976897689768977,1450,24.335394747409847,12451,-1.89059989433844,1.0,0.0,1.5,4.0,20
-2741.369846790738,-96.43562708973923,-6.818561244336867,3138.0648228750215,0.4976897689768977,1450,24.335394747409847,12451,-1.89059989433844,1.0,0.0,1.5,4.0,30
-4716.896645468183,-165.9305060408854,-11.871951758731164,4740.122060161521,0.48059904697072836,1466,23.596498273231063,12451,-3.21752840754992,1.0,0.0,1.5,5.2,5
-4477.3363804516275,-157.50327962716352,-11.088888503276342,4500.561795144941,0.4843182568504457,1450,24.32736326399486,12451,-3.0878181934149156,1.0,0.0,1.5,5.2,10
-4481.369846790739,-157.64516849203628,-11.098748731892046,4504.595261484053,0.48415841584158414,1450,24.335394747409847,12451,-3.0905998943384407,1.0,0.0,1.5,5.2,20
-4481.369846790739,-157.64516849203628,-11.098748731892046,4504.595261484053,0.48415841584158414,1450,24.335394747409847,12451,-3.0905998943384407,1.0,0.0,1.5,5.2,30
-5596.496645468182,-196.87298455666723,-14.04675929116613,5612.222060161373,0.4754935330156569,1466,23.596498273231063,12451,-3.8175284075499194,1.0,0.0,1.5,5.8,5
-5347.336380451627,-188.10805032831198,-13.208219420263827,5363.061795144844,0.47936612743479695,1450,24.32736326399486,12451,-3.687818193414915,1.0,0.0,1.5,5.8,10
-5351.369846790738,-188.24993919318476,-13.21803555293292,5367.095261483955,0.4792079207920792,1450,24.335394747409847,12451,-3.69059989433844,1.0,0.0,1.5,5.8,20
-5351.369846790738,-188.24993919318476,-13.21803555293292,5367.095261483955,0.4792079207920792,1450,24.335394747409847,12451,-3.69059989433844,1.0,0.0,1.5,5.8,30
-6329.496645468182,-222.65838331981877,-15.84546902432917,6338.97206016132,0.4690265486725664,1466,23.596498273231063,12451,-4.317528407549919,1.0,0.0,1.5,6.3,5
-6072.336380451626,-213.61202591260238,-14.96165626145333,6081.811795144759,0.47309343017497524,1450,24.32736326399486,12451,-4.187818193414914,1.0,0.0,1.5,6.3,10
-6076.369846790737,-213.75391477747513,-14.97143501013743,6085.845261483871,0.47293729372937293,1450,24.335394747409847,12451,-4.1905998943384395,1.0,0.0,1.5,6.3,20
-6076.369846790737,-213.75391477747513,-14.97143501013743,6085.845261483871,0.47293729372937293,1450,24.335394747409847,12451,-4.1905998943384395,1.0,0.0,1.5,6.3,30
-7355.696645468182,-258.757941588231,-18.340355565719417,7356.422060161538,0.460857726344452,1466,23.596498273231063,12451,-5.01752840754992,1.0,0.0,1.5,7.0,5
-7087.336380451627,-249.31759173060902,-17.394758008467146,7088.061795144982,0.464839881148894,1450,24.32736326399486,12451,-4.8878181934149145,1.0,0.0,1.5,7.0,10
-7091.369846790738,-249.45948059548178,-17.40448353503062,7092.0952614840935,0.4646864686468647,1450,24.335394747409847,12451,-4.89059989433844,1.0,0.0,1.5,7.0,20
-7091.369846790738,-249.45948059548178,-17.40448353503062,7092.0952614840935,0.4646864686468647,1450,24.335394747409847,12451,-4.89059989433844,1.0,0.0,1.5,7.0,30
-10287.696645468182,-361.89953664083725,-25.292649572324443,10283.631814092107,0.44179714091218514,1466,23.596498273231063,12451,-7.01752840754992,1.0,0.0,1.5,9.0,5
-9987.336380451627,-351.3334940677707,-24.182109277937574,9983.27154907555,0.4470122152525586,1450,24.32736326399486,12451,-6.8878181934149145,1.0,0.0,1.5,9.0,10
-9991.369846790738,-351.47538293264347,-24.19167793109802,9987.305015414662,0.44686468646864685,1450,24.335394747409847,12451,-6.89059989433844,1.0,0.0,1.5,9.0,20
-9991.369846790738,-351.47538293264347,-24.19167793109802,9987.305015414662,0.44686468646864685,1450,24.335394747409847,12451,-6.89059989433844,1.0,0.0,1.5,9.0,30
-11753.696645468182,-413.47033416714044,-28.656087161678766,11749.131814092107,0.4343090537780803,1466,23.596498273231063,12451,-8.01752840754992,1.0,0.0,1.5,10.0,5
-11437.336380451627,-402.34144523635155,-27.470190765193376,11432.77154907555,0.4397490921096071,1450,24.32736326399486,12451,-7.8878181934149145,1.0,0.0,1.5,10.0,10
-11441.369846790738,-402.48333410122433,-27.479678776667413,11436.805015414662,0.4396039603960396,1450,24.335394747409847,12451,-7.89059989433844,1.0,0.0,1.5,10.0,20
-11441.369846790738,-402.48333410122433,-27.479678776667413,11436.805015414662,0.4396039603960396,1450,24.335394747409847,12451,-7.89059989433844,1.0,0.0,1.5,10.0,30
-3383.415204124211,-119.0214327689667,-9.770530427968353,3470.426138770019,0.48686594202898553,1584,17.73351538029074,12451,-2.135994447048113,1.0,0.5,1.5,3.6,5
-3330.7540627763256,-117.16892454389452,-9.603140002301533,3450.960943161879,0.48736462093862815,1582,17.797767247610633,12451,-2.1054071193276394,1.0,0.5,1.5,3.6,10
-3330.7540627763256,-117.16892454389452,-9.603140002301533,3450.960943161879,0.48736462093862815,1582,17.797767247610633,12451,-2.1054071193276394,1.0,0.5,1.5,3.6,20
-3330.7540627763256,-117.16892454389452,-9.603140002301533,3450.960943161879,0.48736462093862815,1582,17.797767247610633,12451,-2.1054071193276394,1.0,0.5,1.5,3.6,30
-4017.015204124211,-141.31014853476864,-11.583693905275384,4075.177293829678,0.48143115942028986,1584,17.73351538029074,12451,-2.535994447048113,1.0,0.5,1.5,4.0,5
-3963.5540627763257,-139.42949799181034,-11.411361415003856,4025.1609431617544,0.48194945848375453,1582,17.797767247610633,12451,-2.5054071193276397,1.0,0.5,1.5,4.0,10
-3963.5540627763257,-139.42949799181034,-11.411361415003856,4025.1609431617544,0.48194945848375453,1582,17.797767247610633,12451,-2.5054071193276397,1.0,0.5,1.5,4.0,20
-3963.5540627763257,-139.42949799181034,-11.411361415003856,4025.1609431617544,0.48194945848375453,1582,17.797767247610633,12451,-2.5054071193276397,1.0,0.5,1.5,4.0,30
-5917.815204124212,-208.1762958321745,-16.969245204133877,5948.977293829854,0.46059782608695654,1584,17.73351538029074,12451,-3.7359944470481135,1.0,0.5,1.5,5.2,5
-5861.954062776326,-206.21121833555787,-16.782575517385144,5893.116152481965,0.4611913357400722,1582,17.797767247610633,12451,-3.70540711932764,1.0,0.5,1.5,5.2,10
-5861.954062776326,-206.21121833555787,-16.782575517385144,5893.116152481965,0.4611913357400722,1582,17.797767247610633,12451,-3.70540711932764,1.0,0.5,1.5,5.2,20
-5861.954062776326,-206.21121833555787,-16.782575517385144,5893.116152481965,0.4611913357400722,1582,17.797767247610633,12451,-3.70540711932764,1.0,0.5,1.5,5.2,30
-6868.21520412421,-241.60936948087738,-19.62464242190636,6890.851864056098,0.4519927536231884,1584,17.73351538029074,12451,-4.335994447048113,1.0,0.5,1.5,5.8,5
-6811.154062776325,-239.60207850743157,-19.43112255691084,6833.790722708218,0.4526173285198556,1582,17.797767247610633,12451,-4.305407119327639,1.0,0.5,1.5,5.8,10
-6811.154062776325,-239.60207850743157,-19.43112255691084,6833.790722708218,0.4526173285198556,1582,17.797767247610633,12451,-4.305407119327639,1.0,0.5,1.5,5.8,20
-6811.154062776325,-239.60207850743157,-19.43112255691084,6833.790722708218,0.4526173285198556,1582,17.797767247610633,12451,-4.305407119327639,1.0,0.5,1.5,5.8,30
